2020-08-19 12:08:47 INFO  Browser :82 - URL has been opened: http://computer-database.herokuapp.com/computers
2020-08-19 12:08:628 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
2020-08-19 12:08:733 INFO  BaseClass :81 - Entered text: 2021-06-10 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: discontinued]
2020-08-19 12:08:809 INFO  BaseClass :115 - Sony has been selected from available dropdown options
2020-08-19 12:08:817 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:844 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:485 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:493 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:523 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:530 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:556 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:556 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:91 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:121 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:250 INFO  BaseClass :81 - Entered text: ASUS ROG 1 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:262 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:296 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:640 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:681 INFO  AddComputerPage :130 - Found: ASUS ROG 1 in Computer Name search results
2020-08-19 12:08:59 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 1
2020-08-19 12:08:141 INFO  BaseClass :115 - RCA has been selected from available dropdown options
2020-08-19 12:08:150 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:179 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:856 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:866 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:893 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:900 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:926 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:926 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:250 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:280 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:389 INFO  BaseClass :81 - Entered text: ASUS ROG 2 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:399 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:423 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:770 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:791 INFO  AddComputerPage :130 - Found: ASUS ROG 2 in Computer Name search results
2020-08-19 12:08:106 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 2
2020-08-19 12:08:195 INFO  BaseClass :115 - Sony has been selected from available dropdown options
2020-08-19 12:08:203 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:231 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:917 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:925 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:953 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:960 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:988 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:988 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:315 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
